"dt","track_name","artist_name","track_popularity","track_duration_minutes","popularity_tier","is_explicit","region","album_name","release_year","played_at"
"2025-09-02","Out of Time","The Weeknd","76","3.5698833333333333","Medium","false","AR","Dawn FM","2022","2025-09-02T01:23:02.890Z"
"2025-09-02","Spring Into Summer","Lizzy McAlpine","78","4.3753","Medium","false","AR","Older (and Wiser)","2024",
"2025-09-02","21","Gracie Abrams","31","3.0862","Unknown","false","KR","21","2020",
"2025-09-02","honey","Coastal Club","51","4.171783333333333","Low","false","AR","honey","2020",
"2025-09-02","Tough Love","Gracie Abrams","68","2.8191","Medium","true","AR","The Secret of Us","2024",
"2025-09-02","Superglue","ROLE MODEL","58","3.3417166666666667","Low","true","AR","Kansas Anymore","2024",
"2025-09-02","Supercut","Lorde","78","4.6251","Medium","false","AR","Melodrama","2017",
"2025-09-02","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","81","4.26525","High","true","AR","CHROMAKOPIA","2024",
"2025-09-02","Ae Dil Hai Mushkil Title Track","Pritam, Arijit Singh","72","4.483866666666667","Medium","false","AR","Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition]","2016",
"2025-09-02","We Are The People","Empire Of The Sun","85","4.456216666666666","High","false","AR","Walking On A Dream (10th Anniversary Edition)","2008",
"2025-09-02","I Can See You (Taylor’s Version) (From The Vault)","Taylor Swift","73","4.5531","Medium","false","AR","Speak Now (Taylor's Version)","2023",
"2025-09-02","Mess It Up","Gracie Abrams","78","2.8546666666666667","Medium","false","AR","Mess It Up","2021",
"2025-09-02","Come Inside Of My Heart","IV OF SPADES","70","4.1231333333333335","Medium","false","AR","CLAPCLAPCLAP!","2019",
"2025-09-02","Friend","Gracie Abrams","63","2.9491","Medium","false","AR","minor","2020",
"2025-09-02","All Falls Down","Lizzy McAlpine","56","2.864","Low","false","AR","Older","2024",
"2025-09-02","Espresso","Sabrina Carpenter","86","2.9243166666666665","High","true","AR","Short n' Sweet","2024",
"2025-09-02","I Think He Knows","Taylor Swift","70","2.8897666666666666","Medium","false","AR","Lover","2019",
"2025-09-02","Gang Baby","NLE Choppa","77","2.303","Medium","true","AR","SLUT SZN","2024",
"2025-09-02","Writing's On The Wall","ROLE MODEL","64","2.8329","Medium","false","AR","Kansas Anymore","2024",
"2025-09-02","Good Graces","Sabrina Carpenter","79","3.08775","Medium","true","AR","Short n' Sweet","2024",
"2025-09-02","Style","Taylor Swift","84","3.85","High","false","AR","1989 (Deluxe)","2014",
"2025-09-02","Don’t Smile","Sabrina Carpenter","77","3.43825","Medium","false","AR","Short n' Sweet","2024",
"2025-09-02","Taste","Sabrina Carpenter","87","2.6213166666666665","High","false","AR","Short n' Sweet","2024",
"2025-09-02","FIELD TRIP","¥$, Kanye West, Ty Dolla $ign","72","2.71925","Medium","true","AR","VULTURES 2","2024",
"2025-09-02","Risk","Gracie Abrams","76","3.1931","Medium","false","AR","The Secret of Us","2024",
"2025-09-02","""Slut!"" (Taylor's Version) (From The Vault)","Taylor Swift","74","3.00635","Medium","false","AR","1989 (Taylor's Version)","2023",
"2025-09-02","Why","Sabrina Carpenter","61","2.8516","Medium","false","AR","Why","2017",
"2025-09-02","Felt Good About You","Gracie Abrams","54","2.744883333333333","Low","false","AR","The Secret of Us","2024",
"2025-09-02","Please Please Please","Sabrina Carpenter","84","3.1060833333333333","High","true","AR","Short n' Sweet","2024",
"2025-09-02","Look At That Woman","ROLE MODEL","73","2.7243","Medium","false","AR","Kansas Anymore","2024",
"2025-09-02","HOT TO GO!","Chappell Roan","79","3.0806833333333334","Medium","false","AR","The Rise and Fall of a Midwest Princess","2023",
"2025-09-02","Blowing Smoke","Gracie Abrams","71","3.8713333333333333","Medium","false","AR","The Secret of Us","2024",
"2025-09-02","Close To You","Gracie Abrams","80","3.7662166666666668","High","false","AR","The Secret of Us","2024",
"2025-09-02","this is me trying","Taylor Swift","75","3.2516166666666666","Medium","false","AR","folklore","2020",
"2025-09-02","NEW DROP","Don Toliver","80","3.6222166666666666","High","true","AR","HARDSTONE PSYCHO","2024",
"2025-09-02","Delicate","Taylor Swift","83","3.8708833333333335","High","false","AR","reputation","2017",
"2025-09-02","Suburban Legends (Taylor's Version) (From The Vault)","Taylor Swift","66","2.8636333333333335","Medium","false","AR","1989 (Taylor's Version)","2023",
"2025-09-02","Free Now","Gracie Abrams","65","3.568","Medium","false","AR","The Secret of Us","2024",
"2025-09-02","Feather","Sabrina Carpenter","82","3.0925333333333334","High","true","AR","emails i can’t send fwd:","2023",
"2025-09-02","NIGHTS LIKE THIS","The Kid LAROI","86","1.4497166666666668","High","false","AR","THE FIRST TIME","2023",
"2025-08-31","Die For You","The Weeknd","84","4.33755","High","false","AR","Starboy","2016","2025-08-31T22:05:10.156Z"
"2025-08-31","Blinding Lights","The Weeknd","89","3.334","High","false","AR","After Hours","2020","2025-08-31T22:00:31.199Z"
"2025-08-31","Can't Feel My Face","The Weeknd","82","3.558666666666667","High","false","AR","Beauty Behind The Madness","2015","2025-08-31T21:57:10.360Z"
"2025-08-31","One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp","90","4.0780666666666665","High","false","AR","The Idol Episode 4 (Music from the HBO Original Series)","2023","2025-08-31T21:53:36.373Z"
"2025-08-31","Sacrifice","The Weeknd","55","3.148633333333333","Low","true","AR","Dawn FM (Alternate World)","2022","2025-08-31T21:49:31.533Z"
"2025-08-31","Faith","The Weeknd","57","4.720266666666666","Low","true","AR","After Hours (Deluxe)","2020","2025-08-31T21:46:22.103Z"
"2025-08-31","Broke In A Minute","Tory Lanez","72","2.2003833333333334","Medium","true","AR","The New Toronto 3","2020","2025-08-31T21:12:37.844Z"
"2025-08-31","Way 2 Sexy (with Future & Young Thug)","Drake, Future, Young Thug","73","4.2934","Medium","true","AR","Certified Lover Boy","2021","2025-08-31T21:10:25.513Z"
