"track_name","artist_name","track_popularity","track_duration_minutes","popularity_tier","release_year","album_name"
"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","90","4.266666666666667","High","2025","Hurry Up Tomorrow"
"NOKIA","Drake","87","4.01705","High","2025","$ome $exy $ongs 4 U"
"Taste","Sabrina Carpenter","87","2.6213166666666665","High","2024","Short n' Sweet"
"NIGHTS LIKE THIS","The Kid LAROI","86","1.4497166666666668","High","2023","THE FIRST TIME"
"Espresso","Sabrina Carpenter","86","2.9243166666666665","High","2024","Short n' Sweet"
"We Are The People","Empire Of The Sun","85","4.456216666666666","High","2008","Walking On A Dream (10th Anniversary Edition)"
"Busy Woman","Sabrina Carpenter","84","3.1102","High","2025","Short n' Sweet (Deluxe)"
"Please Please Please","Sabrina Carpenter","84","3.1060833333333333","High","2024","Short n' Sweet"
"Style","Taylor Swift","84","3.85","High","2014","1989 (Deluxe)"
"Delicate","Taylor Swift","83","3.8708833333333335","High","2017","reputation"
"Feather","Sabrina Carpenter","82","3.0925333333333334","High","2023","emails i can’t send fwd:"
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","81","4.26525","High","2024","CHROMAKOPIA"
"Sally, When The Wine Runs Out","ROLE MODEL","81","3.6443333333333334","High","2025","Kansas Anymore (The Longest Goodbye)"
"Close To You","Gracie Abrams","80","3.7662166666666668","High","2024","The Secret of Us"
"NEW DROP","Don Toliver","80","3.6222166666666666","High","2024","HARDSTONE PSYCHO"
"Good Graces","Sabrina Carpenter","79","3.08775","Medium","2024","Short n' Sweet"
"HOT TO GO!","Chappell Roan","79","3.0806833333333334","Medium","2023","The Rise and Fall of a Midwest Princess"
"Spring Into Summer","Lizzy McAlpine","78","4.3753","Medium","2024","Older (and Wiser)"
"Supercut","Lorde","78","4.6251","Medium","2017","Melodrama"
"Mess It Up","Gracie Abrams","78","2.8546666666666667","Medium","2021","Mess It Up"
"Don’t Smile","Sabrina Carpenter","77","3.43825","Medium","2024","Short n' Sweet"
"Gang Baby","NLE Choppa","77","2.303","Medium","2024","SLUT SZN"
"Risk","Gracie Abrams","76","3.1931","Medium","2024","The Secret of Us"
"this is me trying","Taylor Swift","75","3.2516166666666666","Medium","2020","folklore"
"""Slut!"" (Taylor's Version) (From The Vault)","Taylor Swift","74","3.00635","Medium","2023","1989 (Taylor's Version)"
"I Can See You (Taylor’s Version) (From The Vault)","Taylor Swift","73","4.5531","Medium","2023","Speak Now (Taylor's Version)"
"Look At That Woman","ROLE MODEL","73","2.7243","Medium","2024","Kansas Anymore"
"Ae Dil Hai Mushkil Title Track","Pritam, Arijit Singh","72","4.483866666666667","Medium","2016","Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition]"
"FIELD TRIP","¥$, Kanye West, Ty Dolla $ign","72","2.71925","Medium","2024","VULTURES 2"
"Blowing Smoke","Gracie Abrams","71","3.8713333333333333","Medium","2024","The Secret of Us"
"I Think He Knows","Taylor Swift","70","2.8897666666666666","Medium","2019","Lover"
"Come Inside Of My Heart","IV OF SPADES","70","4.1231333333333335","Medium","2019","CLAPCLAPCLAP!"
"Tough Love","Gracie Abrams","68","2.8191","Medium","2024","The Secret of Us"
"Suburban Legends (Taylor's Version) (From The Vault)","Taylor Swift","66","2.8636333333333335","Medium","2023","1989 (Taylor's Version)"
"Free Now","Gracie Abrams","65","3.568","Medium","2024","The Secret of Us"
"Writing's On The Wall","ROLE MODEL","64","2.8329","Medium","2024","Kansas Anymore"
"Friend","Gracie Abrams","63","2.9491","Medium","2020","minor"
"Why","Sabrina Carpenter","61","2.8516","Medium","2017","Why"
"Superglue","ROLE MODEL","58","3.3417166666666667","Low","2024","Kansas Anymore"
"All Falls Down","Lizzy McAlpine","56","2.864","Low","2024","Older"
"Felt Good About You","Gracie Abrams","54","2.744883333333333","Low","2024","The Secret of Us"
"Movie Scene","grentperez","54","3.0110166666666665","Low","2025","Backflips in a Restaurant"
"honey","Coastal Club","51","4.171783333333333","Low","2020","honey"
"Girl at the Station","grentperez","51","2.460933333333333","Low","2025","Backflips in a Restaurant"
"Everest","grentperez","50","2.7031","Low","2025","Backflips in a Restaurant"
"Falling for a Friend","grentperez","50","2.8399666666666668","Low","2025","Backflips in a Restaurant"
"Need You Around","grentperez","49","2.7587","Low","2025","Backflips in a Restaurant"
"Headspace","grentperez","46","2.5761833333333333","Low","2025","Backflips in a Restaurant"
"Nice to Meet You","grentperez","45","1.8509166666666668","Low","2025","Backflips in a Restaurant"
"21","Gracie Abrams","31","3.0862","Unknown","2020","21"
